country,country_code,year,item,item_code,origin,Disponibilité intérieure,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour)
Afghanistan,2,2013,Raisin,2620,vegetal,513.0,29.0,0.12,0.12
Afghanistan,2,2013,"Fruits, Autres",2625,vegetal,240.0,9.0,0.06,0.06
Afghanistan,2,2013,Café,2630,vegetal,0.0,0.0,,
Afghanistan,2,2013,Feve de Cacao,2633,vegetal,1.0,0.0,0.04,0.04
Afghanistan,2,2013,Thé,2635,vegetal,107.0,4.0,,
Afghanistan,2,2013,Poivre,2640,vegetal,0.0,0.0,0.0,0.0
Afghanistan,2,2013,"Épices, Autres",2645,vegetal,8.0,2.0,0.1,0.1
Afghanistan,2,2013,Vin,2655,vegetal,0.0,0.0,,
Afghanistan,2,2013,Bière,2656,vegetal,3.0,0.0,,
Afghanistan,2,2013,Boissons Alcooliques,2658,vegetal,0.0,0.0,,
Afghanistan,2,2013,Aliments pour enfants,2680,vegetal,2.0,1.0,0.01,0.01
Afghanistan,2,2013,Viande de Bovins,2731,animal,140.0,27.0,2.1,2.1
Afghanistan,2,2013,Viande d'Ovins/Caprins,2732,animal,150.0,31.0,2.55,2.55
Afghanistan,2,2013,Viande de Volailles,2734,animal,75.0,9.0,0.53,0.53
Afghanistan,2,2013,"Viande, Autre",2735,animal,12.0,1.0,0.06,0.06
Afghanistan,2,2013,Abats Comestible,2736,animal,53.0,5.0,0.2,0.2
Afghanistan,2,2013,Graisses Animales Crue,2737,animal,15.0,12.0,1.31,1.31
Afghanistan,2,2013,"Beurre, Ghee",2740,animal,36.0,23.0,2.61,2.61
Afghanistan,2,2013,Crème,2743,animal,18.0,3.0,0.32,0.32
Afghanistan,2,2013,Oeufs,2744,animal,47.0,5.0,0.36,0.36
Afghanistan,2,2013,Miel,2745,vegetal,2.0,1.0,,
Afghanistan,2,2013,Poissons Eau Douce,2761,animal,2.0,0.0,0.0,0.0
Afghanistan,2,2013,Riz (Eq Blanchi),2805,vegetal,461.0,141.0,0.27,0.27
Afghanistan,2,2013,Lait - Excl Beurre,2848,animal,2083.0,100.0,5.19,5.19
Afghanistan,2,2013,Miscellanees,2899,vegetal,,1.0,0.02,0.02
Albanie,3,2013,Blé,2511,vegetal,650.0,1056.0,5.85,5.85
Albanie,3,2013,Orge,2513,vegetal,19.0,1.0,0.0,0.0
Albanie,3,2013,Maïs,2514,vegetal,420.0,13.0,0.04,0.04
Albanie,3,2013,Seigle,2515,vegetal,3.0,5.0,0.02,0.02
Albanie,3,2013,Avoine,2516,vegetal,28.0,1.0,0.01,0.01
Albanie,3,2013,Millet,2517,vegetal,0.0,,,
Albanie,3,2013,Sorgho,2518,vegetal,0.0,,,
Albanie,3,2013,"Céréales, Autres",2520,vegetal,0.0,0.0,0.0,0.0
Albanie,3,2013,Pommes de Terre,2531,vegetal,262.0,77.0,0.11,0.11
Albanie,3,2013,Manioc,2532,vegetal,0.0,0.0,,
Albanie,3,2013,Patates douces,2533,vegetal,1.0,1.0,0.0,0.0
Albanie,3,2013,"Racines, Nda",2534,vegetal,0.0,0.0,,
Albanie,3,2013,"Sucre, betterave",2537,vegetal,40.0,,,
Albanie,3,2013,Sucre Eq Brut,2542,vegetal,69.0,173.0,,
Albanie,3,2013,Edulcorants Autres,2543,vegetal,93.0,16.0,,
Albanie,3,2013,Haricots,2546,vegetal,28.0,46.0,0.22,0.22
Albanie,3,2013,Pois,2547,vegetal,0.0,0.0,,
Albanie,3,2013,Légumineuses Autres,2549,vegetal,3.0,3.0,0.02,0.02
Albanie,3,2013,Noix,2551,vegetal,14.0,27.0,2.07,2.07
Albanie,3,2013,Soja,2555,vegetal,0.0,0.0,,
Albanie,3,2013,Arachides Decortiquees,2556,vegetal,1.0,2.0,0.2,0.2
Albanie,3,2013,Graines de tournesol,2557,vegetal,2.0,,,
Albanie,3,2013,Graines Colza/Moutarde,2558,vegetal,0.0,0.0,0.0,0.0
Albanie,3,2013,Graines de coton,2559,vegetal,1.0,,,
Albanie,3,2013,Coco (Incl Coprah),2560,vegetal,0.0,0.0,0.01,0.01
Albanie,3,2013,Sésame,2561,vegetal,0.0,,,
Albanie,3,2013,Palmistes,2562,vegetal,0.0,,,
Albanie,3,2013,Olives,2563,vegetal,82.0,69.0,6.99,6.99
Albanie,3,2013,"Plantes Oleiferes, Autre",2570,vegetal,0.0,,,
Albanie,3,2013,Huile de Soja,2571,vegetal,0.0,3.0,0.32,0.32
Albanie,3,2013,Huile d'Arachide,2572,vegetal,0.0,0.0,0.02,0.02
Albanie,3,2013,Huile de Tournesol,2573,vegetal,29.0,121.0,13.66,13.66
Albanie,3,2013,Huile de Colza&Moutarde,2574,vegetal,0.0,1.0,0.07,0.07
